EMPLOYEE_ID,RACE,GENDER,GENDER_NUM,DEPARTMENT_NAME,TITLE,REGULAR_PAY,PAY_NUM,LOG_PAY
1,White,NA,1,Assessing Department,Property Utilization Officer,"$78,836.75 ",78836.75,4.896728712
2,NA,Male,1,BPS Brighton Arts Academy,Teacher,"$50,895.36 ",50895.36,4.706678191
3,NA,Male,1,Brighton Police Department,Police Officer,"$96,890.67 ",96890.67,4.986281959
4,NA,Female,0,BPS Health and Wellness,Employment Agreement,"$4,020.00 ",4020,3.604226053
5,Black,Male,1,Brighton Fire Department,Fire Fighter,"$127,532.31 ",127532.31,5.105620226
6,NA,NA,1,Tobin K-8,Teacher,"$117,943.09 ",117943.09,5.071672502
7,NA,Male,1,Public Works Department,Maint Mech (Carpenter)##,"$52,289.57 ",52289.57,4.71841507
8,White,Male,1,Brighton Public Library,Children's Librarian I,"$55,153.74 ",55153.74,4.741574967
9,White,Female,0,Hurley K-8,Teacher,"$108,431.54 ",108431.54,5.035155626
10,White,Male,1,BPS Snowden International Hi,Teacher,"$109,373.04 ",109373.04,5.038910283
11,NA,Female,0,BPS O'Bryant School,Teacher,"$119,901.22 ",119901.22,5.078823602
12,NA,Female,0,King K-8,Paraprofessional,"$35,928.07 ",35928.07,4.555433888
13,NA,NA,1,BPS Alternative Education HS,Teacher,"$112,273.24 ",112273.24,5.050276256
14,NA,Female,0,BPS Charlestown High,Teacher,"$117,516.58 ",117516.58,5.070099144
15,White,NA,1,English Language Learn,Manager NonAcad C,"$79,393.10 ",79393.1,4.89978276
16,White,Male,1,BPS Facility Management,Part-Time Custodian,"$6,404.81 ",6404.81,3.806506251
17,White,Male,1,Public Works Department,First  Asst Drawtender##,"$44,466.15 ",44466.15,4.648029529
18,White,Female,0,BPS Carter Center,Paraprofessional,"$5,649.22 ",5649.22,3.751988488
19,Black,Male,1,BPS Substitute Teachers/Nurs,Substitute Teacher,"$3,006.58 ",3006.58,3.478072764
20,Black,NA,1,Brighton Police Department,Police Officer,NA,NA,NA
21,White,NA,1,BPS Conley Elementary,Teacher,"$69,365.70 ",69365.7,4.841144773
